Title(BHK),Price,location,Carpet Area(sqft),Floor No.,Total Floors,Transaction,Furnishing,facing,overlooking,Bathroom,Balcony,Parking Spaces,Parking Type
2,3000000.0,new-delhi,400,2,3,Resale,Semi-Furnished,East,"Garden/Park, Main Road",1,1,1,Open
3,17500000.0,gurgaon,1296,2,4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",3,2,2,Covered
3,3900000.0,faridabad,645,7,14,Resale,Semi-Furnished,East,Main Road,2,2,1,Open
3,17500000.0,gurgaon,1296,2,4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",3,2,2,Covered
3,10500000.0,gurgaon,1470,4,4,New Property,Semi-Furnished,North - East,Garden/Park,3,3,1,Covered
1,3800000.0,kalyan,430,0,3,Resale,Semi-Furnished,East,Garden/Park,1,1,1,Open
3,19200000.0,gurgaon,1380,3,4,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",2,2,2,"Covered,"
3,12200000.0,pune,1167,8,17,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",3,2,1,Covered
3,8500000.0,bangalore,900,10,14,Resale,Unfurnished,East,"Garden/Park, Main Road",2,2,1,Covered
4,43500000.0,new-delhi,2027,2,4,New Property,Semi-Furnished,East,Garden/Park,4,2,2,"Covered,"
2,7500000.0,ahmedabad,875,2,10,Resale,Furnished,East,Main Road,2,2,1,Open
3,8000000.0,faridabad,1288,10,15,Resale,Unfurnished,West,Main Road,2,4,2,Covered
3,8390000.0,ahmedabad,1044,5,13,Resale,Unfurnished,East,"Garden/Park, Main Road",3,3,1,Open
3,17500000.0,gurgaon,1296,2,4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",3,2,2,Covered
2,4200000.0,kolkata,745,1,3,Resale,Furnished,North - East,Main Road,2,1,1,Covered
5,44000000.0,gurgaon,2500,4,21,Resale,Semi-Furnished,North,"Garden/Park, Main Road",5,3,3,Covered
4,26800000.0,new-delhi,2100,8,10,Resale,Unfurnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
