Title(BHK),location,Carpet Area(sqft),Floor No.,Total Floors,Transaction,Furnishing,facing,overlooking,Bathroom,Balcony,Parking Spaces,Parking Type,Price
4,new-delhi,2027,2,4,New Property,Semi-Furnished,East,Garden/Park,4,2,2,"Covered,",43500000.0
2,ahmedabad,875,2,10,Resale,Furnished,East,Main Road,2,2,1,Open,7500000.0
3,faridabad,1288,10,15,Resale,Unfurnished,West,Main Road,2,4,2,Covered,8000000.0
3,ahmedabad,1044,5,13,Resale,Unfurnished,East,"Garden/Park, Main Road",3,3,1,Open,8338716.904761905
3,gurgaon,1296,2,4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",3,2,2,Covered,17500000.0
2,kolkata,745,1,3,Resale,Furnished,North - East,Main Road,2,1,1,Covered,4200000.0
5,gurgaon,2500,4,21,Resale,Semi-Furnished,North,"Garden/Park, Main Road",5,3,3,Covered,41439000.0
4,new-delhi,2100,8,10,Resale,Unfurnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,",26800000.0
3,hyderabad,1323,1,10,New Property,Unfurnished,East,"Garden/Park, Main Road",3,1,2,"Covered,",15800000.0
3,bangalore,1000,10,10,Resale,Furnished,South -West,"Garden/Park, Pool, Main Road",3,2,2,Covered,7800000.0
2,bangalore,1330,24,30,Resale,Unfurnished,East,Garden/Park,2,1,1,Covered,24456833.333333336
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,",26800000.0
3,jaipur,1450,4,6,New Property,Semi-Furnished,North,Main Road,3,3,1,Covered,6840100.0
4,new-delhi,2100,8,10,Resale,Unfurnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,",26800000.0
3,chennai,1068,3,5,New Property,Unfurnished,North,Garden/Park,3,1,1,Covered,6900000.0
3,chennai,1831,18,19,Resale,Unfurnished,North,"Pool, Main Road",3,3,1,Open,25000000.0
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,",26800000.0
3,new-delhi,1760,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",4,3,1,"Covered,",23500000.0
4,new-delhi,2027,2,4,New Property,Semi-Furnished,East,Garden/Park,4,2,2,"Covered,",43500000.0
3,gurgaon,1470,4,4,New Property,Semi-Furnished,North - East,Garden/Park,3,3,1,Covered,10500000.0
2,chennai,750,3,3,New Property,Unfurnished,North,Main Road,3,0,1,Covered,5770200.0
4,gurgaon,2358,1,4,New Property,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",4,2,2,"Covered,",29000000.0
3,faridabad,800,1,4,New Property,Semi-Furnished,East,Main Road,2,2,1,Covered,5807866.666666666
3,greater-noida,761,12,24,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",2,4,1,Covered,5300000.0
2,chennai,630,1,19,New Property,Unfurnished,West,"Pool, Main Road",2,1,1,Covered,4762200.0
4,gurgaon,1500,2,3,Resale,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,4,2,Open,29000000.0
2,new-delhi,495,1,4,New Property,Furnished,East,"Garden/Park, Main Road",2,1,1,Covered,2300000.0
3,new-delhi,1400,4,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",2,4,1,"Covered,",21000000.0
3,kolkata,1450,18,28,Resale,Furnished,North - East,Garden/Park,3,2,1,Covered,12100000.0
5,chennai,2800,14,19,Resale,Semi-Furnished,East,Main Road,5,2,2,Covered,50000000.0
3,ahmedabad,1123,1,12,Resale,Unfurnished,East,"Pool, Garden/Park, Main Road",3,2,1,Open,8500358.333333332
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,",26800000.0
3,new-delhi,900,3,4,Resale,Semi-Furnished,North - West,Garden/Park,2,2,1,Covered,6000000.0
3,new-delhi,1760,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",4,3,1,"Covered,",23500000.0
3,kolkata,2550,2,4,Resale,Semi-Furnished,East,Garden/Park,3,2,2,Covered,39500000.0
4,gurgaon,1500,2,3,Resale,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,4,2,Open,29000000.0
2,chennai,800,2,3,New Property,Unfurnished,North,Main Road,2,1,1,Covered,5450000.0
3,jaipur,1650,2,6,New Property,Semi-Furnished,West,Main Road,3,3,1,Covered,9369300.0
3,hyderabad,1830,16,26,New Property,Unfurnished,East,"Main Road, Garden/Park",3,1,2,Covered,24000000.0
3,zirakpur,1400,1,3,New Property,Semi-Furnished,North - East,Main Road,3,2,1,Covered,7475900.0
3,gurgaon,1296,2,4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",3,2,2,Covered,17500000.0
4,new-delhi,1900,3,4,New Property,Semi-Furnished,North - East,"Garden/Park, Main Road",5,2,2,"Covered,",45460000.0
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,",26800000.0
3,gurgaon,1550,5,20,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,2,1,"Covered,",15500000.0
4,faridabad,1975,8,12,Resale,Furnished,South -West,"Garden/Park, Main Road",4,2,1,"Covered,",14709916.666666668
3,chennai,1831,18,19,Resale,Unfurnished,North,"Pool, Main Road",3,3,1,Open,25000000.0
1,navi-mumbai,400,9,25,Resale,Semi-Furnished,East,Garden/Park,1,0,1,Covered,7256000.0
4,chennai,1450,4,4,New Property,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,2,1,"Covered,",15000000.0
3,hyderabad,1323,1,10,New Property,Unfurnished,East,"Garden/Park, Main Road",3,1,2,"Covered,",15800000.0
2,hyderabad,956,5,5,Resale,Furnished,East,Garden/Park,2,1,1,Covered,6900000.0
3,visakhapatnam,1350,5,5,New Property,Unfurnished,West,"Garden/Park, Pool, Main Road",2,2,1,Covered,6008800.0
3,gurgaon,1300,5,13,New Property,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,3,1,"Covered,",16299999.999999998
3,vadodara,1300,1,4,Resale,Semi-Furnished,East,Garden/Park,3,0,1,Covered,7442716.666666668
3,faridabad,1600,1,4,New Property,Semi-Furnished,North,Garden/Park,3,2,1,Covered,10152500.0
3,new-delhi,1400,4,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",2,4,1,"Covered,",21000000.0
3,new-delhi,1600,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,3,1,"Covered,",22000000.0
4,ahmedabad,2200,3,7,New Property,Unfurnished,East,Garden/Park,4,1,3,Covered,28253500.0
3,gurgaon,1300,5,13,New Property,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,3,1,"Covered,",16299999.999999998
